Sample Input

3 10
5 5
2 8
7 2

Output: 12

Test 1

1000 1000
154 362
1336 726
5762 397
6697 115
2443 655
6651 655
4677 816
1077 54
9490 195
7422 375
559 148
1882 51
2297 988
1605 141
8173 743
3231 380
7147 642
6260 698
3819 766
8225 951
6976 77
1884 118
5130 817
7558 118
6342 99
8713 923
9019 401
8242 445
1448 88
7922 116
7137 804
1930 902
3544 898
688 828
2947 438
3384 770
8969 679
8168 434
5359 181
8321 52
3397 944
8227 751
6136 633
8026 98
1188 289
4095 247
6171 606
5716 2
169 255
6408 389
9769 606
8079 559
5439 585
9878 4
7690 797
4763 303
1341 894
6388 85
731 221
7189 181
751 637
1622 857
1834 302
8482 356
6046 787
7354 880
7589 284
7469 794
3558 941
2428 200
423 943
7050 243
2306 766
621 437
2833 844
2472 244
2444 467
4052 571
274 389
7413 540
9711 730
7957 521
7046 558
6389 184
7108 20
4608 147
914 774
7066 310
9389 290
1540 725
3625 395
7574 179
4681 542
6742 828
6837 331
7762 138
6226 139
8393 140
7973 917
5057 713
2440 179
5053 6
4839 422
9038 819
1601 994
2034 806
757 11
8404 855
7027 850
1665 824
3618 851
3597 19
8983 181
1135 701
5980 522
4503 184
6290 995
2138 763
7826 765
2042 739
9728 891
4280 214
3027 403
4658 114
2742 930
2978 352
7959 563
4169 152
6227 356
4484 208
4093 423
5144 785
8831 793
4707 246
7106 990
2056 910
6341 471
6664 741
9209 759
9342 929
3437 940
8250 1000
2812 730
5471 855
9507 342
1642 4
8929 601
1522 532
8525 389
5033 305
757 126
2394 511
3760 903
6567 228
8224 295
1278 770
7536 390
6852 799
3579 417
9393 992
7417 178
548 431
8990 217
8873 852
6552 313
2091 429
458 945
1034 875
3351 776
5319 595
3539 23
1404 634
1449 250
3144 488
8755 817
441 826
899 829
8743 22
8529 105
1026 727
3464 624
1056 347
9277 664
5186 550
5685 640
1094 824
7530 681
8199 628
3384 322
4334 496
5765 112
5681 363
9605 811
8971 399
8210 220
7382 752
4400 250
8890 406
9543 990
1233 83
4974 94
6742 425
1940 521
2206 259
6090 53
2142 634
572 737
1478 918
8038 9
8357 607
9268 807
3661 554
3659 543
9860 190
28 945
56 294
7103 526
5001 184
3244 15
1888 949
4066 1
7281 460
8182 421
1862 758
8109 202
6212 770
4189 210
4754 719
769 521
7507 895
7837 892
8717 667
8262 594
170 51
9630 786
6951 261
4438 814
6835 395
8894 128
6023 600
533 343
9640 896
9950 500
3425 174
6589 762
4825 441
289 533
6890 389
7095 56
1425 519
8142 629
2270 411
2791 556
2647 498
801 118
582 213
5216 951
1682 636
4315 698
8467 604
5781 437
3563 322
3902 380
3520 146
278 210
5667 304
9009 640
9273 910
7636 391
4824 211
5402 326
6692 29
3275 181
963 307
386 19
2346 615
8450 725
6801 290
5088 22
8278 357
2910 330
124 613
641 764
2664 935
2258 849
6582 831
5765 700
397 241
5579 235
6335 328
6566 730
7635 798
7848 511
2807 739
8060 797
4025 327
